Id,source,SalePrice,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood
1,train,0.559875762,GasA,4,2Story,1,2,Lvl,Gtl,-0.103660542,Inside,-0.048936931,Reg,0,60,RL,196,BrkFace,none,0,2,CollgCr
2,train,0.212691536,GasA,4,1Story,1,1,Lvl,Gtl,0.146545835,FR2,0.569696316,Reg,0,20,RL,0,None,none,0,5,Veenker
3,train,0.733795021,GasA,4,2Story,1,2,Lvl,Gtl,0.457557039,Inside,0.085493269,IR1,0,60,RL,162,BrkFace,none,0,9,CollgCr
4,train,-0.437232151,GasA,3,2Story,1,2,Lvl,Gtl,0.136306039,Corner,-0.287413293,IR1,0,70,RL,0,None,none,0,2,Crawfor
5,train,1.014303169,GasA,4,2Story,1,2,Lvl,Gtl,0.922471268,FR2,0.715059975,IR1,0,60,RL,350,BrkFace,none,0,12,NoRidge
6,train,-0.384153897,GasA,4,1.5Fin,1,1,Lvl,Gtl,0.90243001,Inside,0.750319132,IR1,0,50,RL,0,None,Shed,700,10,Mitchel
7,train,1.528474828,GasA,4,1Story,1,2,Lvl,Gtl,0.242997255,Inside,0.37741257,Reg,0,20,RL,186,Stone,none,0,8,Somerst
8,train,0.455678791,GasA,4,2Story,1,1,Lvl,Gtl,0.300106058,Corner,0.569696316,IR1,0,60,RL,240,Stone,Shed,350,11,NWAmes
9,train,-0.624682767,GasA,3,1.5Fin,2,1,Lvl,Gtl,-0.736260691,Inside,-0.77161634,Reg,0,50,RM,0,None,none,0,4,OldTown
10,train,-0.865213121,GasA,4,1.5Unf,2,1,Lvl,Gtl,-0.358554935,Corner,-0.830615574,Reg,0,190,RL,0,None,none,0,1,BrkSide
11,train,-0.632403453,GasA,4,1Story,1,1,Lvl,Gtl,0.44882243,Inside,0.171857693,Reg,0,20,RL,0,None,none,0,2,Sawyer
12,train,1.820616832,GasA,4,2Story,1,3,Lvl,Gtl,0.571653052,Inside,0.750319132,IR1,0,60,RL,286,Stone,none,0,7,NridgHt
13,train,-0.366708318,GasA,2,1Story,1,1,Lvl,Gtl,0.736235919,Inside,0.255788989,IR2,0,20,RL,0,None,none,0,9,Sawyer
14,train,1.293539251,GasA,4,1Story,1,2,Lvl,Gtl,0.350450882,Inside,0.953536336,IR1,0,20,RL,306,Stone,none,0,8,CollgCr
15,train,-0.150330544,GasA,2,1Story,1,1,Lvl,Gtl,0.399176325,Corner,0.296884317,IR1,0,20,RL,212,BrkFace,none,0,5,NAmes
16,train,-0.584535255,GasA,4,1.5Unf,1,1,Lvl,Gtl,-0.736260691,Corner,-0.77161634,Reg,0,45,RM,0,None,none,0,7,BrkSide
17,train,-0.281258708,GasA,4,1Story,1,1,Lvl,Gtl,0.455987678,CulDSac,0.296884317,IR1,0,20,RL,180,BrkFace,Shed,700,3,NAmes
18,train,-1.54332975,GasA,2,1Story,2,1,Lvl,Gtl,0.375873742,Inside,0.255788989,Reg,0,90,RL,0,None,Shed,500,10,Sawyer
19,train,-0.118641127,GasA,4,1Story,1,2,Lvl,Gtl,0.843196101,Inside,-0.003449574,Reg,0,20,RL,0,None,none,0,6,SawyerW
20,train,-0.455177966,GasA,2,1Story,1,1,Lvl,Gtl,-0.321901225,Inside,0.171857693,Reg,0,20,RL,0,None,none,0,5,NAmes
21,train,1.67342367,GasA,4,2Story,1,2,Lvl,Gtl,0.916273459,Corner,1.264167836,IR1,0,60,RL,380,BrkFace,none,0,11,NridgHt
22,train,-0.447984195,GasA,4,1.5Unf,1,2,Bnk,Gtl,-0.350905914,Inside,-0.440234687,Reg,0,45,RM,0,None,none,0,6,IDOTRR
23,train,0.805563104,GasA,4,1Story,1,2,Lvl,Gtl,0.175338631,Inside,0.37741257,Reg,0,20,RL,281,BrkFace,none,0,9,CollgCr
24,train,-0.624682767,GasA,2,1Story,1,1,Lvl,Gtl,-1.46332839,Inside,-1.211477719,Reg,0,120,RM,0,None,none,0,6,MeadowV
25,train,-0.198629737,GasA,4,1Story,1,2,Lvl,Gtl,-0.151581823,Inside,0.255788989,IR1,0,20,RL,0,None,none,0,5,Sawyer
26,train,1.076607835,GasA,4,1Story,1,2,Lvl,Gtl,0.918341573,Corner,1.518485897,Reg,0,20,RL,640,Stone,none,0,7,NridgHt
27,train,-0.531987557,GasA,2,1Story,1,2,Lvl,Gtl,-0.417574658,Corner,-0.287413293,Reg,0,20,RL,0,None,none,0,5,NAmes
28,train,1.520307021,GasA,4,1Story,1,2,Lvl,Gtl,0.496900926,Inside,1.17433096,Reg,0,20,RL,200,Stone,none,0,5,NridgHt
29,train,0.547840015,GasA,2,1Story,1,1,Lvl,Gtl,1.187183623,CulDSac,-1.014964924,IR1,0,20,RL,0,None,none,0,12,NAmes
30,train,-2.226706013,GasA,1,1Story,1,0,Lvl,Gtl,-0.67196259,Inside,-0.287413293,IR1,0,30,RM,0,None,none,0,5,BrkSide
31,train,-3.573437206,GasA,2,2Story,1,1,Lvl,Gtl,-0.09209168,Inside,-0.830615574,Reg,0,70,C (all),0,None,none,0,7,IDOTRR
32,train,-0.275385062,GasA,3,1Story,1,2,Lvl,Gtl,-0.081967236,CulDSac,0.255788989,IR1,0,20,RL,0,None,none,0,6,Sawyer
33,train,0.190524879,GasA,4,1Story,1,2,Lvl,Gtl,0.422205241,Corner,0.750319132,Reg,0,20,RL,0,None,none,0,1,CollgCr
34,train,-0.018336195,GasA,3,1Story,1,2,Lvl,Gtl,0.331955023,Inside,0.171857693,IR1,0,20,RL,0,None,none,0,4,NAmes
