Id,source,SalePrice,1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical
1,train,208500,856,854,0,NA,3,1Fam,TA,No,706,0,GLQ,Unf,1,0,Gd,150,Y,Norm,Norm,SBrkr
2,train,181500,1262,0,0,NA,3,1Fam,TA,Gd,978,0,ALQ,Unf,0,1,Gd,284,Y,Feedr,Norm,SBrkr
3,train,223500,920,866,0,NA,3,1Fam,TA,Mn,486,0,GLQ,Unf,1,0,Gd,434,Y,Norm,Norm,SBrkr
4,train,140000,961,756,0,NA,3,1Fam,Gd,No,216,0,ALQ,Unf,1,0,TA,540,Y,Norm,Norm,SBrkr
5,train,250000,1145,1053,0,NA,4,1Fam,TA,Av,655,0,GLQ,Unf,1,0,Gd,490,Y,Norm,Norm,SBrkr
6,train,143000,796,566,320,NA,1,1Fam,TA,No,732,0,GLQ,Unf,1,0,Gd,64,Y,Norm,Norm,SBrkr
7,train,307000,1694,0,0,NA,3,1Fam,TA,Av,1369,0,GLQ,Unf,1,0,Ex,317,Y,Norm,Norm,SBrkr
8,train,2.00E+05,1107,983,0,NA,3,1Fam,TA,Mn,859,32,ALQ,BLQ,1,0,Gd,216,Y,PosN,Norm,SBrkr
9,train,129900,1022,752,0,NA,2,1Fam,TA,No,0,0,Unf,Unf,0,0,TA,952,Y,Artery,Norm,FuseF
10,train,118000,1077,0,0,NA,2,2fmCon,TA,No,851,0,GLQ,Unf,1,0,TA,140,Y,Artery,Artery,SBrkr
11,train,129500,1040,0,0,NA,3,1Fam,TA,No,906,0,Rec,Unf,1,0,TA,134,Y,Norm,Norm,SBrkr
12,train,345000,1182,1142,0,NA,4,1Fam,TA,No,998,0,GLQ,Unf,1,0,Ex,177,Y,Norm,Norm,SBrkr
13,train,144000,912,0,0,NA,2,1Fam,TA,No,737,0,ALQ,Unf,1,0,TA,175,Y,Norm,Norm,SBrkr
14,train,279500,1494,0,0,NA,3,1Fam,TA,Av,0,0,Unf,Unf,0,0,Gd,1494,Y,Norm,Norm,SBrkr
15,train,157000,1253,0,0,NA,2,1Fam,TA,No,733,0,BLQ,Unf,1,0,TA,520,Y,Norm,Norm,SBrkr
16,train,132000,854,0,0,NA,2,1Fam,TA,No,0,0,Unf,Unf,0,0,TA,832,Y,Norm,Norm,FuseA
17,train,149000,1004,0,0,NA,2,1Fam,TA,No,578,0,ALQ,Unf,1,0,TA,426,Y,Norm,Norm,SBrkr
18,train,90000,1296,0,0,NA,2,Duplex,NA,NA,0,0,NA,NA,0,0,NA,0,Y,Norm,Norm,SBrkr
19,train,159000,1114,0,0,NA,3,1Fam,TA,No,646,0,GLQ,Unf,1,0,TA,468,Y,RRAe,Norm,SBrkr
20,train,139000,1339,0,0,NA,3,1Fam,TA,No,504,0,LwQ,Unf,0,0,TA,525,Y,Norm,Norm,SBrkr
21,train,325300,1158,1218,0,NA,4,1Fam,TA,Av,0,0,Unf,Unf,0,0,Ex,1158,Y,Norm,Norm,SBrkr
22,train,139400,1108,0,0,Grvl,3,1Fam,TA,No,0,0,Unf,Unf,0,0,TA,637,Y,Norm,Norm,FuseF
23,train,230000,1795,0,0,NA,3,1Fam,TA,No,0,0,Unf,Unf,0,0,Gd,1777,Y,Norm,Norm,SBrkr
24,train,129900,1060,0,0,NA,3,TwnhsE,TA,No,840,0,GLQ,Unf,1,0,Gd,200,Y,Norm,Norm,SBrkr
25,train,154000,1060,0,0,NA,3,1Fam,TA,Mn,188,668,Rec,ALQ,1,0,TA,204,Y,Norm,Norm,SBrkr
26,train,256300,1600,0,0,NA,3,1Fam,TA,No,0,0,Unf,Unf,0,0,Gd,1566,Y,Norm,Norm,SBrkr
27,train,134800,900,0,0,NA,3,1Fam,TA,Mn,234,486,BLQ,Rec,0,1,TA,180,Y,Norm,Norm,SBrkr
28,train,306000,1704,0,0,NA,3,1Fam,TA,No,1218,0,GLQ,Unf,1,0,Ex,486,Y,Norm,Norm,SBrkr
29,train,207500,1600,0,0,NA,2,1Fam,TA,Gd,1277,0,BLQ,Unf,1,0,TA,207,Y,Norm,Norm,SBrkr
30,train,68500,520,0,0,NA,1,1Fam,TA,No,0,0,Unf,Unf,0,0,TA,520,N,Feedr,RRNn,SBrkr
31,train,40000,649,668,0,Pave,3,1Fam,TA,No,0,0,Unf,Unf,0,0,TA,649,N,Feedr,Norm,SBrkr
32,train,149350,1228,0,0,NA,3,1Fam,TA,No,0,0,Unf,Unf,0,0,TA,1228,Y,Norm,Norm,SBrkr
33,train,179900,1234,0,0,NA,3,1Fam,TA,Av,0,0,Unf,Unf,0,0,Ex,1234,Y,Norm,Norm,SBrkr
