Id,source,SalePrice,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,Functional,GarageArea,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,Bath
1,train,208500,3,4,VinylSd,VinylSd,0,0,0,PConc,7,0.348828494,2,3,Attchd,2003,0.413476373,2.5
2,train,181500,3,3,MetalSd,MetalSd,0,3,1,CBlock,7,-0.059793535,2,3,Attchd,1976,-0.471809814,2
3,train,223500,3,4,VinylSd,VinylSd,0,3,1,PConc,7,0.627434422,2,3,Attchd,2001,0.563658851,2.5
4,train,140000,3,3,Wd Sdng,Wd Shng,0,4,1,BrkTil,7,0.785311115,1,3,Detchd,1998,0.42730897,1
5,train,250000,3,4,VinylSd,VinylSd,0,3,1,PConc,7,1.68613695,2,3,Attchd,2000,1.377805969,2.5
6,train,143000,3,3,VinylSd,VinylSd,3,0,0,Wood,7,0.033075108,1,3,Attchd,1993,-0.27420129,1.5
7,train,307000,3,4,VinylSd,VinylSd,0,4,1,PConc,7,0.757450522,2,3,Attchd,2004,0.381859009,2
8,train,2.00E+05,3,3,HdBoard,HdBoard,0,3,2,CBlock,7,0.051648837,2,3,Attchd,1973,1.164388764,2.5
9,train,129900,3,3,BrkFace,Wd Shng,0,3,2,BrkTil,6,-0.022646077,1,2,Detchd,1931,0.539945828,2
10,train,118000,3,3,MetalSd,MetalSd,0,3,2,BrkTil,7,-1.24386873,2,4,Attchd,1939,-0.837385583,1
11,train,129500,3,3,HdBoard,HdBoard,0,0,0,CBlock,7,-0.412694377,1,3,Detchd,1965,-0.910500736,1
12,train,345000,3,5,WdShing,Wd Shng,0,4,2,PConc,7,1.221793736,3,3,BuiltIn,2005,1.626792709,3
13,train,144000,3,3,HdBoard,Plywood,0,0,0,CBlock,7,-0.561284206,1,3,Detchd,1962,-1.163439647,1
14,train,279500,3,4,VinylSd,VinylSd,0,4,1,PConc,7,1.704710679,2,3,Attchd,2006,-0.013358038,2
15,train,157000,3,3,MetalSd,MetalSd,2,2,1,CBlock,7,-0.561284206,2,3,Attchd,1960,-0.489594581,1.5
16,train,132000,3,3,Wd Sdng,Wd Sdng,4,0,0,BrkTil,7,0.478844594,1,3,Detchd,1991,-1.278052591,1
17,train,149000,3,3,Wd Sdng,Wd Sdng,0,3,1,CBlock,7,0.033075108,3,3,Attchd,1970,-0.981639805,1
18,train,90000,3,3,MetalSd,MetalSd,0,0,0,Slab,7,0.200238665,1,3,CarPort,1967,-0.404622915,2
19,train,159000,3,3,VinylSd,VinylSd,0,0,0,PConc,7,0.478844594,1,3,Detchd,2004,-0.764270429,1.5
20,train,139000,3,3,BrkFace,Plywood,3,0,0,CBlock,6,-0.83060327,1,3,Attchd,1958,-0.31965125,1
21,train,325300,3,4,VinylSd,VinylSd,0,4,1,PConc,7,1.765075297,2,3,BuiltIn,2005,1.729549142,3.5
22,train,139400,3,3,Wd Sdng,Wd Sdng,4,4,1,PConc,7,-0.89561132,1,3,Attchd,1930,-0.77612694,1
23,train,230000,3,4,VinylSd,VinylSd,0,4,1,PConc,7,0.283820444,2,3,Attchd,2002,0.581443618,2
24,train,129900,3,3,CemntBd,CmentBd,0,3,1,PConc,7,0.460270865,1,3,Attchd,1976,-0.870979032,1
25,train,154000,4,3,Plywood,Plywood,3,3,1,CBlock,7,-0.942045641,1,3,Attchd,1968,-0.870979032,1
26,train,256300,3,4,VinylSd,VinylSd,0,4,1,PConc,7,1.936882286,2,3,Attchd,2007,0.196106997,2
27,train,134800,3,3,Wd Sdng,Wd Sdng,0,0,0,CBlock,7,0.478844594,1,3,Detchd,2005,-1.18715267,1
28,train,306000,3,4,VinylSd,VinylSd,0,4,1,PConc,7,1.388957293,2,3,Attchd,2008,0.401619862,2
29,train,207500,3,3,MetalSd,MetalSd,0,4,2,CBlock,7,-0.714517466,2,3,Attchd,1957,0.196106997,1
30,train,68500,3,3,MetalSd,MetalSd,0,0,0,BrkTil,7,-1.081348605,1,2,Detchd,1920,-1.93806506,1
31,train,40000,2,3,BrkFace,BrkFace,3,0,0,BrkTil,7,-1.034914284,1,3,Detchd,1920,-0.363125125,1
32,train,149350,3,3,HdBoard,HdBoard,3,0,0,CBlock,7,-0.937402209,1,3,Attchd,1966,-0.538996712,1.5
