Id,source,SalePrice,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,Functional,GarageArea,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,Bath,1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
1,train,208500.0,GasA,4,2Story,1,2,Lvl,Gtl,-0.103660542,Inside,-0.048936931,Reg,0,60,RL,196,BrkFace,none,0,2,CollgCr,3,4,VinylSd,VinylSd,0,0,0,PConc,7,0.348828494,2,3,Attchd,2003,0.413476373,2.5,-0.777838286504,1.20737854975,-0.103330530851,None,3,1Fam,3,1,0.799888722623,-0.358020298369,6,1,1,0,4,-0.783211020976,Y,Norm,Norm,SBrkr,0.817255470982,5,7,2,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,8,-0.16974044509,AllPub,-0.929191516623,2003,2003,2008
2,train,181500.0,GasA,4,1Story,1,1,Lvl,Gtl,0.146545835,FR2,0.569696316,Reg,0,20,RL,0,None,none,0,5,Veenker,3,3,MetalSd,MetalSd,0,3,1,CBlock,7,-0.059793535,2,3,Attchd,1976,-0.471809814,2.0,0.423495296809,-0.785025043887,-0.103330530851,None,3,1Fam,3,4,0.974058992643,-0.358020298369,5,1,0,1,4,-0.324087730909,Y,Feedr,Norm,SBrkr,-1.07568666246,8,6,2,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,6,0.480761850746,AllPub,1.36042310739,1976,1976,2007
3,train,223500.0,GasA,4,2Story,1,2,Lvl,Gtl,0.457557039,Inside,0.085493269,IR1,0,60,RL,162,BrkFace,none,0,9,CollgCr,3,4,VinylSd,VinylSd,0,3,1,PConc,7,0.627434422,2,3,Attchd,2001,0.563658851,2.5,-0.555083188972,1.23537485317,-0.103330530851,None,3,1Fam,3,2,0.610598552189,-0.358020298369,6,1,1,0,4,0.0432983599623,Y,Norm,Norm,SBrkr,0.633193407753,5,7,2,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,6,-0.0545833150781,AllPub,-0.929191516623,2001,2002,2008
4,train,140000.0,GasA,3,2Story,1,2,Lvl,Gtl,0.136306039,Corner,-0.287413293,IR1,0,70,RL,0,None,none,0,2,Crawfor,3,3,Wd Sdng,Wd Shng,0,4,1,BrkTil,7,0.785311115,1,3,Detchd,1998,0.42730897,1.0,-0.420297150574,0.978742071788,-0.103330530851,None,3,1Fam,4,1,0.234729073638,-0.358020298369,5,1,1,0,3,0.255111315801,Y,Norm,Norm,SBrkr,0.545028498069,5,7,2,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,7,-0.362382063719,AllPub,-0.929191516623,1915,1970,2006
5,train,250000.0,GasA,4,2Story,1,2,Lvl,Gtl,0.922471268,FR2,0.715059975,IR1,0,60,RL,350,BrkFace,none,0,12,NoRidge,3,4,VinylSd,VinylSd,0,3,1,PConc,7,1.68613695,2,3,Attchd,2000,1.377805969,2.5,0.12191747958,1.67165058152,-0.103330530851,None,4,1Fam,3,3,0.761015810216,-0.358020298369,6,1,1,0,4,0.158921372524,Y,Norm,Norm,SBrkr,0.97868426331,5,8,2,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,9,0.310524481299,AllPub,1.07825585475,2000,2000,2008
6,train,143000.0,GasA,4,1.5Fin,1,1,Lvl,Gtl,0.90243001,Inside,0.750319132,IR1,0,50,RL,0,None,Shed,700,10,Mitchel,3,3,VinylSd,VinylSd,3,0,0,Wood,7,0.033075108,1,3,Attchd,1993,-0.27420129,1.5,-1.00216660833,0.535467267584,12.6032232155,None,1,1Fam,3,1,0.818796534439,-0.358020298369,6,1,1,0,4,-1.25432540472,Y,Norm,Norm,SBrkr,0.471435816564,5,5,2,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,5,-0.283304588941,AllPub,0.256638083661,1993,1995,2009
7,train,307000.0,GasA,4,1Story,1,2,Lvl,Gtl,0.242997255,Inside,0.37741257,Reg,0,20,RL,186,Stone,none,0,8,Somerst,3,4,VinylSd,VinylSd,0,4,1,PConc,7,0.757450522,2,3,Attchd,2004,0.381859009,2.0,1.3379469688,-0.785025043887,-0.103330530851,None,3,1Fam,3,3,1.16301289285,-0.358020298369,6,1,1,0,5,-0.234053111154,Y,Norm,Norm,SBrkr,0.783458793806,5,8,2,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,7,1.01808573225,AllPub,1.25750285526,2004,2005,2007
8,train,200000.0,GasA,4,2Story,1,1,Lvl,Gtl,0.300106058,Corner,0.569696316,IR1,0,60,RL,240,Stone,Shed,350,11,NWAmes,3,3,HdBoard,HdBoard,0,3,2,CBlock,7,0.051648837,2,3,Attchd,1973,1.164388764,2.5,0.0173744677011,1.50833881155,-0.103330530851,None,3,1Fam,3,2,0.903692021537,1.14576701222,5,4,1,0,4,-0.533670421896,Y,PosN,Norm,SBrkr,1.4428068395,6,7,2,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,7,0.252622720609,AllPub,1.20484419385,1973,1973,2009
9,train,129900.0,GasA,3,1.5Fin,2,1,Lvl,Gtl,-0.736260691,Inside,-0.77161634,Reg,0,50,RM,0,None,none,0,4,OldTown,3,3,BrkFace,Wd Shng,0,3,2,BrkTil,6,-0.022646077,1,2,Detchd,1931,0.539945828,2.0,-0.229936623234,0.969409970647,-0.103330530851,None,2,1Fam,3,1,-1.37997484383,-0.358020298369,1,1,0,0,3,0.886835144262,Y,Artery,Norm,FuseF,-1.07568666246,5,7,2,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,8,0.000903246542093,AllPub,0.647724752698,1931,1950,2008
10,train,118000.0,GasA,4,1.5Unf,2,1,Lvl,Gtl,-0.358554935,Corner,-0.830615574,Reg,0,190,RL,0,None,none,0,1,BrkSide,3,3,MetalSd,MetalSd,0,3,2,BrkTil,7,-1.24386873,2,4,Attchd,1939,-0.837385583,1.0,-0.0676981324604,-0.785025043887,-0.103330530851,None,2,2fmCon,3,1,0.898670293295,-0.358020298369,6,1,1,0,3,-0.826908995574,Y,Artery,Artery,SBrkr,-0.3835779835,6,5,2,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,5,0.0667913409636,AllPub,-0.929191516623,1939,1950,2008
11,train,129500.0,GasA,4,1Story,1,1,Lvl,Gtl,0.44882243,Inside,0.171857693,Reg,0,20,RL,0,None,none,0,2,Sawyer,3,3,HdBoard,HdBoard,0,0,0,CBlock,7,-0.412694377,1,3,Detchd,1965,-0.910500736,1.0,-0.175908982483,-0.785025043887,-0.103330530851,None,3,1Fam,3,1,0.932417433973,-0.358020298369,3,1,1,0,3,-0.854102558532,Y,Norm,Norm,SBrkr,-1.07568666246,5,5,2,0.0,None,CompShg,Hip,WD,-0.308889511743,Pave,5,0.147051754228,AllPub,-0.929191516623,1965,1965,2008
12,train,345000.0,GasA,4,2Story,1,3,Lvl,Gtl,0.571653052,Inside,0.750319132,IR1,0,60,RL,286,Stone,none,0,7,NridgHt,3,5,WdShing,Wd Shng,0,4,2,PConc,7,1.221793736,3,3,BuiltIn,2005,1.626792709,3.0,0.220462611049,1.87928983191,-0.103330530851,None,4,1Fam,3,1,0.985163216774,-0.358020298369,6,1,1,0,5,-0.673921195285,Y,Norm,Norm,SBrkr,0.304717724313,5,9,2,0.0,None,CompShg,Hip,New,-0.308889511743,Pave,11,0.355294111814,AllPub,0.918786636625,2005,2006,2006
13,train,144000.0,GasA,2,1Story,1,1,Lvl,Gtl,0.736235919,Inside,0.255788989,IR2,0,20,RL,0,None,none,0,9,Sawyer,3,3,HdBoard,Plywood,0,0,0,CBlock,7,-0.561284206,1,3,Detchd,1962,-1.163439647,1.0,-0.582074414927,-0.785025043887,-0.103330530851,None,2,1Fam,3,1,0.822367120276,-0.358020298369,5,1,1,0,3,-0.681631107366,Y,Norm,Norm,SBrkr,-1.07568666246,6,5,2,0.0,None,CompShg,Hip,WD,3.23468805352,Pave,4,-0.0686652885316,AllPub,0.890584599608,1962,1962,2008
14,train,279500.0,GasA,4,1Story,1,2,Lvl,Gtl,0.350450882,Inside,0.953536336,IR1,0,20,RL,306,Stone,none,0,8,CollgCr,3,4,VinylSd,VinylSd,0,4,1,PConc,7,1.704710679,2,3,Attchd,2006,-0.013358038,2.0,0.947345426059,-0.785025043887,-0.103330530851,None,3,1Fam,3,3,-1.37997484383,-0.358020298369,1,1,0,0,4,1.48665671584,Y,Norm,Norm,SBrkr,0.516832758302,5,7,2,0.0,None,CompShg,Gable,New,-0.308889511743,Pave,7,0.788112867239,AllPub,0.968445953157,2006,2007,2007
15,train,157000.0,GasA,2,1Story,1,1,Lvl,Gtl,0.399176325,Corner,0.296884317,IR1,0,20,RL,212,BrkFace,none,0,5,NAmes,3,3,MetalSd,MetalSd,2,2,1,CBlock,7,-0.561284206,2,3,Attchd,1960,-0.489594581,1.5,0.401299783267,-0.785025043887,-0.103330530851,None,2,1Fam,3,1,0.819512304266,-0.358020298369,4,1,1,0,3,0.217358819972,Y,Norm,Norm,SBrkr,1.46598549298,5,6,2,0.0,None,CompShg,Hip,WD,-0.308889511743,Pave,5,0.4680684852,AllPub,-0.929191516623,1960,1960,2008
16,train,132000.0,GasA,4,1.5Unf,1,1,Lvl,Gtl,-0.736260691,Corner,-0.77161634,Reg,0,45,RM,0,None,none,0,7,BrkSide,3,3,Wd Sdng,Wd Sdng,4,0,0,BrkTil,7,0.478844594,1,3,Detchd,1991,-1.278052591,1.0,-0.785061936848,-0.785025043887,-0.103330530851,None,2,1Fam,3,1,-1.37997484383,-0.358020298369,1,1,0,0,3,0.725146897644,Y,Norm,Norm,FuseA,1.12656717098,8,7,2,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,5,-0.214476671564,AllPub,0.33874160269,1929,2001,2007
17,train,149000.0,GasA,4,1Story,1,1,Lvl,Gtl,0.455987678,CulDSac,0.296884317,IR1,0,20,RL,180,BrkFace,Shed,700,3,NAmes,3,3,Wd Sdng,Wd Sdng,0,3,1,CBlock,7,0.033075108,3,3,Attchd,1970,-0.981639805,1.0,-0.28491370923,-0.785025043887,-0.103330530851,None,2,1Fam,3,1,0.697151839267,-0.358020298369,5,1,1,0,3,0.0260047355233,Y,Norm,Norm,SBrkr,-1.07568666246,7,6,2,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,5,0.0883505977037,AllPub,-0.929191516623,1970,1970,2010
18,train,90000.0,GasA,2,1Story,2,1,Lvl,Gtl,0.375873742,Inside,0.255788989,Reg,0,90,RL,0,None,Shed,500,10,Sawyer,3,3,MetalSd,MetalSd,0,0,0,Slab,7,0.200238665,1,3,CarPort,1967,-0.404622915,2.0,0.505954997751,-0.785025043887,-0.103330530851,None,2,Duplex,0,0,-1.37997484383,-0.358020298369,0,0,0,0,0,-2.30874808668,Y,Norm,Norm,SBrkr,-1.07568666246,5,4,2,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,6,-4.74688154527,AllPub,-0.929191516623,1967,1967,2006
19,train,159000.0,GasA,4,1Story,1,2,Lvl,Gtl,0.843196101,Inside,-0.003449574,Reg,0,20,RL,0,None,none,0,6,SawyerW,3,3,VinylSd,VinylSd,0,0,0,PConc,7,0.478844594,1,3,Detchd,2004,-0.764270429,1.5,0.0368964823565,-0.785025043887,-0.103330530851,None,3,1Fam,3,1,0.75389082255,-0.358020298369,6,1,1,0,3,0.114575191091,Y,RRAe,Norm,SBrkr,1.07821190947,5,5,2,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,6,0.263392150107,AllPub,-0.929191516623,2004,2004,2008
20,train,139000.0,GasA,2,1Story,1,1,Lvl,Gtl,-0.321901225,Inside,0.171857693,Reg,0,20,RL,0,None,none,0,5,NAmes,3,3,BrkFace,Plywood,3,0,0,CBlock,6,-0.83060327,1,3,Attchd,1958,-0.31965125,1.0,0.607230078319,-0.785025043887,-0.103330530851,None,3,1Fam,3,1,0.628567141999,-0.358020298369,2,1,0,0,3,0.226884050695,Y,Norm,Norm,SBrkr,-1.07568666246,6,5,2,0.0,None,CompShg,Hip,COD,-0.308889511743,Pave,6,0.129268121803,AllPub,-0.929191516623,1958,1965,2009
21,train,325300.0,GasA,4,2Story,1,2,Lvl,Gtl,0.916273459,Corner,1.264167836,IR1,0,60,RL,380,BrkFace,none,0,11,NridgHt,3,4,VinylSd,VinylSd,0,4,1,PConc,7,1.765075297,2,3,BuiltIn,2005,1.729549142,3.5,0.15689579715,2.05659975359,-0.103330530851,None,4,1Fam,3,3,-1.37997484383,-0.358020298369,1,1,0,0,5,1.1359654604,Y,Norm,Norm,SBrkr,1.29319086335,5,8,2,0.0,None,CompShg,Gable,New,-0.308889511743,Pave,9,0.330024178551,AllPub,1.21833401842,2005,2006,2006
22,train,139400.0,GasA,4,1.5Unf,1,2,Bnk,Gtl,-0.350905914,Inside,-0.440234687,Reg,0,45,RM,0,None,none,0,6,IDOTRR,3,3,Wd Sdng,Wd Sdng,4,4,1,PConc,7,-0.89561132,1,3,Attchd,1930,-0.77612694,1.0,0.0201707900995,-0.785025043887,-0.103330530851,Grvl,3,1Fam,3,1,-1.37997484383,-0.358020298369,1,1,0,0,3,0.426382266742,Y,Norm,Norm,FuseF,-1.07568666246,7,7,0,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,6,-0.61643549918,AllPub,-0.929191516623,1930,1950,2007
