Id,source,SalePrice,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood
1,train,208500,GasA,4,2Story,1,2,Lvl,Gtl,8450,Inside,65,Reg,0,60,RL,196,BrkFace,none,0,2,CollgCr
2,train,181500,GasA,4,1Story,1,1,Lvl,Gtl,9600,FR2,80,Reg,0,20,RL,0,None,none,0,5,Veenker
3,train,223500,GasA,4,2Story,1,2,Lvl,Gtl,11250,Inside,68,IR1,0,60,RL,162,BrkFace,none,0,9,CollgCr
4,train,140000,GasA,3,2Story,1,2,Lvl,Gtl,9550,Corner,60,IR1,0,70,RL,0,None,none,0,2,Crawfor
5,train,250000,GasA,4,2Story,1,2,Lvl,Gtl,14260,FR2,84,IR1,0,60,RL,350,BrkFace,none,0,12,NoRidge
6,train,143000,GasA,4,1.5Fin,1,1,Lvl,Gtl,14115,Inside,85,IR1,0,50,RL,0,None,Shed,700,10,Mitchel
7,train,307000,GasA,4,1Story,1,2,Lvl,Gtl,10084,Inside,75,Reg,0,20,RL,186,Stone,none,0,8,Somerst
8,train,200000,GasA,4,2Story,1,1,Lvl,Gtl,10382,Corner,80,IR1,0,60,RL,240,Stone,Shed,350,11,NWAmes
9,train,129900,GasA,3,1.5Fin,2,1,Lvl,Gtl,6120,Inside,51,Reg,0,50,RM,0,None,none,0,4,OldTown
10,train,118000,GasA,4,1.5Unf,2,1,Lvl,Gtl,7420,Corner,50,Reg,0,190,RL,0,None,none,0,1,BrkSide
11,train,129500,GasA,4,1Story,1,1,Lvl,Gtl,11200,Inside,70,Reg,0,20,RL,0,None,none,0,2,Sawyer
12,train,345000,GasA,4,2Story,1,3,Lvl,Gtl,11924,Inside,85,IR1,0,60,RL,286,Stone,none,0,7,NridgHt
13,train,144000,GasA,2,1Story,1,1,Lvl,Gtl,12968,Inside,72,IR2,0,20,RL,0,None,none,0,9,Sawyer
14,train,279500,GasA,4,1Story,1,2,Lvl,Gtl,10652,Inside,91,IR1,0,20,RL,306,Stone,none,0,8,CollgCr
15,train,157000,GasA,2,1Story,1,1,Lvl,Gtl,10920,Corner,73,IR1,0,20,RL,212,BrkFace,none,0,5,NAmes
16,train,132000,GasA,4,1.5Unf,1,1,Lvl,Gtl,6120,Corner,51,Reg,0,45,RM,0,None,none,0,7,BrkSide
17,train,149000,GasA,4,1Story,1,1,Lvl,Gtl,11241,CulDSac,73,IR1,0,20,RL,180,BrkFace,Shed,700,3,NAmes
18,train,90000,GasA,2,1Story,2,1,Lvl,Gtl,10791,Inside,72,Reg,0,90,RL,0,None,Shed,500,10,Sawyer
19,train,159000,GasA,4,1Story,1,2,Lvl,Gtl,13695,Inside,66,Reg,0,20,RL,0,None,none,0,6,SawyerW
20,train,139000,GasA,2,1Story,1,1,Lvl,Gtl,7560,Inside,70,Reg,0,20,RL,0,None,none,0,5,NAmes
21,train,325300,GasA,4,2Story,1,2,Lvl,Gtl,14215,Corner,101,IR1,0,60,RL,380,BrkFace,none,0,11,NridgHt
22,train,139400,GasA,4,1.5Unf,1,2,Bnk,Gtl,7449,Inside,57,Reg,0,45,RM,0,None,none,0,6,IDOTRR
23,train,230000,GasA,4,1Story,1,2,Lvl,Gtl,9742,Inside,75,Reg,0,20,RL,281,BrkFace,none,0,9,CollgCr
24,train,129900,GasA,2,1Story,1,1,Lvl,Gtl,4224,Inside,44,Reg,0,120,RM,0,None,none,0,6,MeadowV
25,train,154000,GasA,4,1Story,1,2,Lvl,Gtl,8246,Inside,72,IR1,0,20,RL,0,None,none,0,5,Sawyer
26,train,256300,GasA,4,1Story,1,2,Lvl,Gtl,14230,Corner,110,Reg,0,20,RL,640,Stone,none,0,7,NridgHt
27,train,134800,GasA,2,1Story,1,2,Lvl,Gtl,7200,Corner,60,Reg,0,20,RL,0,None,none,0,5,NAmes
28,train,306000,GasA,4,1Story,1,2,Lvl,Gtl,11478,Inside,98,Reg,0,20,RL,200,Stone,none,0,5,NridgHt
29,train,207500,GasA,2,1Story,1,1,Lvl,Gtl,16321,CulDSac,47,IR1,0,20,RL,0,None,none,0,12,NAmes
30,train,68500,GasA,1,1Story,1,0,Lvl,Gtl,6324,Inside,60,IR1,0,30,RM,0,None,none,0,5,BrkSide
31,train,40000,GasA,2,2Story,1,1,Lvl,Gtl,8500,Inside,50,Reg,0,70,C (all),0,None,none,0,7,IDOTRR
32,train,149350,GasA,3,1Story,1,2,Lvl,Gtl,8544,CulDSac,72,IR1,0,20,RL,0,None,none,0,6,Sawyer
33,train,179900,GasA,4,1Story,1,2,Lvl,Gtl,11049,Corner,85,Reg,0,20,RL,0,None,none,0,1,CollgCr
34,train,165500,GasA,3,1Story,1,2,Lvl,Gtl,10552,Inside,70,IR1,0,20,RL,0,None,none,0,4,NAmes
35,train,277500,GasA,4,1Story,1,3,Lvl,Gtl,7313,Inside,60,Reg,0,120,RL,246,BrkFace,none,0,8,NridgHt
36,train,309000,GasA,4,2Story,1,2,Lvl,Gtl,13418,Inside,108,Reg,0,60,RL,132,Stone,none,0,9,NridgHt
37,train,145000,GasA,4,1Story,1,1,Lvl,Gtl,10859,Corner,112,Reg,0,20,RL,0,None,none,0,6,CollgCr
38,train,153000,GasA,3,1Story,1,1,Lvl,Gtl,8532,Inside,74,Reg,0,20,RL,650,BrkFace,none,0,10,NAmes
