Id,source,SalePrice,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
1,train,208500.0,61,5,7,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,8,856.0,AllPub,0,2003,2003,2008
2,train,181500.0,0,8,6,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1262.0,AllPub,298,1976,1976,2007
3,train,223500.0,42,5,7,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,920.0,AllPub,0,2001,2002,2008
4,train,140000.0,35,5,7,Y,0,None,CompShg,Gable,Abnorml,WD,0,Pave,7,756.0,AllPub,0,1915,1970,2006
5,train,250000.0,84,5,8,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,9,1145.0,AllPub,192,2000,2000,2008
6,train,143000.0,30,5,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,5,796.0,AllPub,40,1993,1995,2009
7,train,307000.0,57,5,8,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1686.0,AllPub,255,2004,2005,2007
8,train,200000.0,204,6,7,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1107.0,AllPub,235,1973,1973,2009
9,train,129900.0,0,5,7,Y,0,None,CompShg,Gable,Abnorml,WD,0,Pave,8,952.0,AllPub,90,1931,1950,2008
10,train,118000.0,4,6,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,5,991.0,AllPub,0,1939,1950,2008
11,train,129500.0,0,5,5,Y,0,None,CompShg,Hip,Normal,WD,0,Pave,5,1040.0,AllPub,0,1965,1965,2008
12,train,345000.0,21,5,9,Y,0,None,CompShg,Hip,Partial,New,0,Pave,11,1175.0,AllPub,147,2005,2006,2006
13,train,144000.0,0,6,5,Y,0,None,CompShg,Hip,Normal,WD,176,Pave,4,912.0,AllPub,140,1962,1962,2008
14,train,279500.0,33,5,7,Y,0,None,CompShg,Gable,Partial,New,0,Pave,7,1494.0,AllPub,160,2006,2007,2007
15,train,157000.0,213,5,6,Y,0,None,CompShg,Hip,Normal,WD,0,Pave,5,1253.0,AllPub,0,1960,1960,2008
16,train,132000.0,112,8,7,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,5,832.0,AllPub,48,1929,2001,2007
17,train,149000.0,0,7,6,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,5,1004.0,AllPub,0,1970,1970,2010
18,train,90000.0,0,5,4,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,0.0,AllPub,0,1967,1967,2006
19,train,159000.0,102,5,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1114.0,AllPub,0,2004,2004,2008
20,train,139000.0,0,6,5,Y,0,None,CompShg,Hip,Abnorml,COD,0,Pave,6,1029.0,AllPub,0,1958,1965,2009
21,train,325300.0,154,5,8,Y,0,None,CompShg,Gable,Partial,New,0,Pave,9,1158.0,AllPub,240,2005,2006,2006
22,train,139400.0,0,7,7,N,0,None,CompShg,Gable,Normal,WD,0,Pave,6,637.0,AllPub,0,1930,1950,2007
23,train,230000.0,159,5,8,Y,0,None,CompShg,Hip,Normal,WD,0,Pave,7,1777.0,AllPub,171,2002,2002,2008
24,train,129900.0,110,7,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1040.0,AllPub,100,1976,1976,2007
25,train,154000.0,90,8,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1060.0,AllPub,406,1968,2001,2010
26,train,256300.0,56,5,8,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1566.0,AllPub,0,2007,2007,2009
27,train,134800.0,32,7,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,5,900.0,AllPub,222,1951,2000,2010
28,train,306000.0,50,5,8,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1704.0,AllPub,0,2007,2008,2010
29,train,207500.0,258,6,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1484.0,AllPub,288,1957,1997,2006
30,train,68500.0,0,6,4,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,4,520.0,AllPub,49,1927,1950,2008
31,train,40000.0,54,4,4,N,0,None,CompShg,Gambrel,Normal,WD,0,Pave,6,649.0,AllPub,0,1920,1950,2008
32,train,149350.0,65,6,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1228.0,AllPub,0,1966,2006,2008
33,train,179900.0,30,5,8,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1234.0,AllPub,0,2007,2007,2008
34,train,165500.0,38,5,5,Y,0,None,CompShg,Hip,Normal,WD,0,Pave,6,1398.0,AllPub,0,1959,1959,2010
35,train,277500.0,47,5,9,Y,0,None,CompShg,Hip,Normal,WD,0,Pave,6,1561.0,AllPub,203,2005,2005,2007
36,train,309000.0,32,5,8,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,9,1117.0,AllPub,113,2004,2005,2006
37,train,145000.0,64,5,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1097.0,AllPub,392,1994,1995,2009
38,train,153000.0,0,6,5,Y,0,None,CompShg,Hip,Normal,WD,0,Pave,5,1297.0,AllPub,0,1954,1990,2009
39,train,109000.0,52,7,5,Y,0,None,CompShg,Gable,Abnorml,WD,0,Pave,5,1057.0,AllPub,0,1953,2007,2010
40,train,82000.0,0,5,4,N,0,None,CompShg,Gable,AdjLand,WD,0,Pave,6,0.0,AllPub,0,1955,1955,2008
41,train,160000.0,138,5,6,Y,0,None,CompShg,Gable,Abnorml,WD,0,Pave,6,1088.0,AllPub,0,1965,1965,2006
42,train,170000.0,104,6,5,P,0,None,CompShg,Gable,Normal,WD,0,Pave,5,1350.0,AllPub,0,1959,1959,2007
43,train,144000.0,0,7,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,5,840.0,AllPub,240,1983,1983,2007
44,train,130250.0,0,6,5,Y,0,None,CompShg,Hip,Normal,WD,0,Pave,5,938.0,AllPub,145,1975,1980,2008
45,train,141000.0,0,6,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1150.0,AllPub,0,1959,1959,2006
46,train,319900.0,82,5,9,Y,0,None,CompShg,Hip,Normal,WD,0,Pave,6,1752.0,AllPub,196,2005,2005,2010
47,train,239686.0,43,5,7,Y,0,None,CompShg,Gable,Abnorml,WD,198,Pave,6,1434.0,AllPub,168,2003,2003,2009
48,train,249700.0,146,5,8,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1656.0,AllPub,0,2006,2006,2007
49,train,113000.0,0,5,4,N,0,None,CompShg,Gable,Partial,New,0,Pave,8,736.0,AllPub,0,1920,2008,2009
50,train,127000.0,0,7,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,955.0,AllPub,0,1966,1966,2007
51,train,177000.0,75,6,6,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,794.0,AllPub,0,1997,1997,2007
52,train,114500.0,0,6,6,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,816.0,AllPub,112,1934,1950,2006
53,train,110000.0,0,5,5,Y,0,None,CompShg,Gable,Normal,WD,0,Grvl,5,816.0,AllPub,106,1963,1963,2010
54,train,385000.0,72,5,9,Y,0,None,WdShngl,Gable,Normal,WD,0,Pave,5,1842.0,AllPub,857,1981,1987,2006
55,train,130000.0,50,5,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,384.0,AllPub,0,1955,1955,2007
56,train,180500.0,0,5,6,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1425.0,AllPub,0,1964,1964,2008
57,train,172500.0,0,5,8,Y,0,None,CompShg,Gable,Abnorml,WD,0,Pave,7,970.0,AllPub,115,1999,2000,2009
