Id,source,SalePrice,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
1,train,208500.0,GasA,4,2Story,1.0,2,Lvl,Gtl,8450.0,Inside,65.0,Reg,0.0,60,RL,196,BrkFace,none,0.0,2,CollgCr,0,3,4,VinylSd,VinylSd,0,0,0,PConc,2,7,548,2,3,2,3,Attchd,2003,1710,1,856,854,0,None,3,1Fam,3,1,706.0,0.0,6,1,1.0,0.0,4,150.0,Y,Norm,Norm,SBrkr,61,5,7,2,0,None,CompShg,Gable,Normal,WD,0,Pave,8,856.0,AllPub,0,2003,2003,2008
2,train,181500.0,GasA,4,1Story,1.0,1,Lvl,Gtl,9600.0,FR2,80.0,Reg,0.0,20,RL,0,None,none,0.0,5,Veenker,0,3,3,MetalSd,MetalSd,0,3,1,CBlock,2,7,460,2,3,2,3,Attchd,1976,1262,0,1262,0,0,None,3,1Fam,3,4,978.0,0.0,5,1,0.0,1.0,4,284.0,Y,Feedr,Norm,SBrkr,0,8,6,2,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1262.0,AllPub,298,1976,1976,2007
3,train,223500.0,GasA,4,2Story,1.0,2,Lvl,Gtl,11250.0,Inside,68.0,IR1,0.0,60,RL,162,BrkFace,none,0.0,9,CollgCr,0,3,4,VinylSd,VinylSd,0,3,1,PConc,2,7,608,2,3,2,3,Attchd,2001,1786,1,920,866,0,None,3,1Fam,3,2,486.0,0.0,6,1,1.0,0.0,4,434.0,Y,Norm,Norm,SBrkr,42,5,7,2,0,None,CompShg,Gable,Normal,WD,0,Pave,6,920.0,AllPub,0,2001,2002,2008
4,train,140000.0,GasA,3,2Story,1.0,2,Lvl,Gtl,9550.0,Corner,60.0,IR1,0.0,70,RL,0,None,none,0.0,2,Crawfor,272,3,3,Wd Sdng,Wd Shng,0,4,1,BrkTil,1,7,642,3,3,1,3,Detchd,1998,1717,0,961,756,0,None,3,1Fam,4,1,216.0,0.0,5,1,1.0,0.0,3,540.0,Y,Norm,Norm,SBrkr,35,5,7,2,0,None,CompShg,Gable,Abnorml,WD,0,Pave,7,756.0,AllPub,0,1915,1970,2006
5,train,250000.0,GasA,4,2Story,1.0,2,Lvl,Gtl,14260.0,FR2,84.0,IR1,0.0,60,RL,350,BrkFace,none,0.0,12,NoRidge,0,3,4,VinylSd,VinylSd,0,3,1,PConc,2,7,836,3,3,2,3,Attchd,2000,2198,1,1145,1053,0,None,4,1Fam,3,3,655.0,0.0,6,1,1.0,0.0,4,490.0,Y,Norm,Norm,SBrkr,84,5,8,2,0,None,CompShg,Gable,Normal,WD,0,Pave,9,1145.0,AllPub,192,2000,2000,2008
6,train,143000.0,GasA,4,1.5Fin,1.0,1,Lvl,Gtl,14115.0,Inside,85.0,IR1,0.0,50,RL,0,None,Shed,700.0,10,Mitchel,0,3,3,VinylSd,VinylSd,3,0,0,Wood,1,7,480,2,3,1,3,Attchd,1993,1362,1,796,566,320,None,1,1Fam,3,1,732.0,0.0,6,1,1.0,0.0,4,64.0,Y,Norm,Norm,SBrkr,30,5,5,2,0,None,CompShg,Gable,Normal,WD,0,Pave,5,796.0,AllPub,40,1993,1995,2009
7,train,307000.0,GasA,4,1Story,1.0,2,Lvl,Gtl,10084.0,Inside,75.0,Reg,0.0,20,RL,186,Stone,none,0.0,8,Somerst,0,3,4,VinylSd,VinylSd,0,4,1,PConc,2,7,636,2,3,2,3,Attchd,2004,1694,0,1694,0,0,None,3,1Fam,3,3,1369.0,0.0,6,1,1.0,0.0,5,317.0,Y,Norm,Norm,SBrkr,57,5,8,2,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1686.0,AllPub,255,2004,2005,2007
8,train,200000.0,GasA,4,2Story,1.0,1,Lvl,Gtl,10382.0,Corner,80.0,IR1,0.0,60,RL,240,Stone,Shed,350.0,11,NWAmes,228,3,3,HdBoard,HdBoard,0,3,2,CBlock,2,7,484,2,3,2,3,Attchd,1973,2090,1,1107,983,0,None,3,1Fam,3,2,859.0,32.0,5,4,1.0,0.0,4,216.0,Y,PosN,Norm,SBrkr,204,6,7,2,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1107.0,AllPub,235,1973,1973,2009
9,train,129900.0,GasA,3,1.5Fin,2.0,1,Lvl,Gtl,6120.0,Inside,51.0,Reg,0.0,50,RM,0,None,none,0.0,4,OldTown,205,3,3,BrkFace,Wd Shng,0,3,2,BrkTil,2,6,468,2,3,1,2,Detchd,1931,1774,0,1022,752,0,None,2,1Fam,3,1,0.0,0.0,1,1,0.0,0.0,3,952.0,Y,Artery,Norm,FuseF,0,5,7,2,0,None,CompShg,Gable,Abnorml,WD,0,Pave,8,952.0,AllPub,90,1931,1950,2008
10,train,118000.0,GasA,4,1.5Unf,2.0,1,Lvl,Gtl,7420.0,Corner,50.0,Reg,0.0,190,RL,0,None,none,0.0,1,BrkSide,0,3,3,MetalSd,MetalSd,0,3,2,BrkTil,1,7,205,1,3,2,4,Attchd,1939,1077,0,1077,0,0,None,2,2fmCon,3,1,851.0,0.0,6,1,1.0,0.0,3,140.0,Y,Artery,Artery,SBrkr,4,6,5,2,0,None,CompShg,Gable,Normal,WD,0,Pave,5,991.0,AllPub,0,1939,1950,2008
